S.No,Domain,Level,Question Type,Question,Option A,Option B,Option C,Option D,Answer
25,Frontend,Hard,MCQ,Frontend Hard MCQ Question 5: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
26,Frontend,Hard,MCQ,Frontend Hard MCQ Question 6: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
27,Frontend,Hard,MCQ,Frontend Hard MCQ Question 7: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
28,Frontend,Hard,MCQ,Frontend Hard MCQ Question 8: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
29,Frontend,Hard,MCQ,Frontend Hard MCQ Question 9: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
30,Frontend,Hard,MCQ,Frontend Hard MCQ Question 10: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
31,Backend,Easy,MCQ,Backend Easy MCQ Question 1: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
32,Backend,Easy,MCQ,Backend Easy MCQ Question 2: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
33,Backend,Easy,MCQ,Backend Easy MCQ Question 3: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
34,Backend,Easy,MCQ,Backend Easy MCQ Question 4: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
35,Backend,Easy,MCQ,Backend Easy MCQ Question 5: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
36,Backend,Easy,MCQ,Backend Easy MCQ Question 6: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
37,Backend,Easy,MCQ,Backend Easy MCQ Question 7: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
38,Backend,Easy,MCQ,Backend Easy MCQ Question 8: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
39,Backend,Easy,MCQ,Backend Easy MCQ Question 9: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
40,Backend,Easy,MCQ,Backend Easy MCQ Question 10: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
41,Backend,Medium,MCQ,Backend Medium MCQ Question 1: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
42,Backend,Medium,MCQ,Backend Medium MCQ Question 2: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
43,Backend,Medium,MCQ,Backend Medium MCQ Question 3: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
44,Backend,Medium,MCQ,Backend Medium MCQ Question 4: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
45,Backend,Medium,MCQ,Backend Medium MCQ Question 5: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
46,Backend,Medium,MCQ,Backend Medium MCQ Question 6: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
47,Backend,Medium,MCQ,Backend Medium MCQ Question 7: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
48,Backend,Medium,MCQ,Backend Medium MCQ Question 8: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
49,Backend,Medium,MCQ,Backend Medium MCQ Question 9: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
50,Backend,Medium,MCQ,Backend Medium MCQ Question 10: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
51,Backend,Hard,MCQ,Backend Hard MCQ Question 1: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
52,Backend,Hard,MCQ,Backend Hard MCQ Question 2: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
53,Backend,Hard,MCQ,Backend Hard MCQ Question 3: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
54,Backend,Hard,MCQ,Backend Hard MCQ Question 4: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
55,Backend,Hard,MCQ,Backend Hard MCQ Question 5: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
56,Backend,Hard,MCQ,Backend Hard MCQ Question 6: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
57,Backend,Hard,MCQ,Backend Hard MCQ Question 7: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
58,Backend,Hard,MCQ,Backend Hard MCQ Question 8: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
59,Backend,Hard,MCQ,Backend Hard MCQ Question 9: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
60,Backend,Hard,MCQ,Backend Hard MCQ Question 10: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
61,Database,Easy,MCQ,Database Easy MCQ Question 1: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
62,Database,Easy,MCQ,Database Easy MCQ Question 2: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
63,Database,Easy,MCQ,Database Easy MCQ Question 3: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
64,Database,Easy,MCQ,Database Easy MCQ Question 4: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
65,Database,Easy,MCQ,Database Easy MCQ Question 5: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
66,Database,Easy,MCQ,Database Easy MCQ Question 6: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
67,Database,Easy,MCQ,Database Easy MCQ Question 7: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
68,Database,Easy,MCQ,Database Easy MCQ Question 8: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
69,Database,Easy,MCQ,Database Easy MCQ Question 9: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
70,Database,Easy,MCQ,Database Easy MCQ Question 10: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
71,Database,Medium,MCQ,Database Medium MCQ Question 1: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
72,Database,Medium,MCQ,Database Medium MCQ Question 2: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
73,Database,Medium,MCQ,Database Medium MCQ Question 3: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
74,Database,Medium,MCQ,Database Medium MCQ Question 4: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
75,Database,Medium,MCQ,Database Medium MCQ Question 5: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
76,Database,Medium,MCQ,Database Medium MCQ Question 6: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
77,Database,Medium,MCQ,Database Medium MCQ Question 7: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
78,Database,Medium,MCQ,Database Medium MCQ Question 8: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
79,Database,Medium,MCQ,Database Medium MCQ Question 9: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
80,Database,Medium,MCQ,Database Medium MCQ Question 10: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
81,Database,Hard,MCQ,Database Hard MCQ Question 1: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
82,Database,Hard,MCQ,Database Hard MCQ Question 2: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
83,Database,Hard,MCQ,Database Hard MCQ Question 3: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
84,Database,Hard,MCQ,Database Hard MCQ Question 4: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
85,Database,Hard,MCQ,Database Hard MCQ Question 5: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
86,Database,Hard,MCQ,Database Hard MCQ Question 6: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
87,Database,Hard,MCQ,Database Hard MCQ Question 7: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
88,Database,Hard,MCQ,Database Hard MCQ Question 8: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
89,Database,Hard,MCQ,Database Hard MCQ Question 9: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
90,Database,Hard,MCQ,Database Hard MCQ Question 10: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
91,Full Stack,Easy,MCQ,Full Stack Easy MCQ Question 1: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
92,Full Stack,Easy,MCQ,Full Stack Easy MCQ Question 2: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
93,Full Stack,Easy,MCQ,Full Stack Easy MCQ Question 3: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
94,Full Stack,Easy,MCQ,Full Stack Easy MCQ Question 4: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
95,Full Stack,Easy,MCQ,Full Stack Easy MCQ Question 5: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
96,Full Stack,Easy,MCQ,Full Stack Easy MCQ Question 6: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
97,Full Stack,Easy,MCQ,Full Stack Easy MCQ Question 7: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
98,Full Stack,Easy,MCQ,Full Stack Easy MCQ Question 8: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
99,Full Stack,Easy,MCQ,Full Stack Easy MCQ Question 9: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
100,Full Stack,Easy,MCQ,Full Stack Easy MCQ Question 10: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
101,Full Stack,Medium,MCQ,Full Stack Medium MCQ Question 1: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
102,Full Stack,Medium,MCQ,Full Stack Medium MCQ Question 2: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
103,Full Stack,Medium,MCQ,Full Stack Medium MCQ Question 3: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
104,Full Stack,Medium,MCQ,Full Stack Medium MCQ Question 4: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
105,Full Stack,Medium,MCQ,Full Stack Medium MCQ Question 5: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
106,Full Stack,Medium,MCQ,Full Stack Medium MCQ Question 6: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
107,Full Stack,Medium,MCQ,Full Stack Medium MCQ Question 7: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
108,Full Stack,Medium,MCQ,Full Stack Medium MCQ Question 8: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
109,Full Stack,Medium,MCQ,Full Stack Medium MCQ Question 9: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
110,Full Stack,Medium,MCQ,Full Stack Medium MCQ Question 10: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
111,Full Stack,Hard,MCQ,Full Stack Hard MCQ Question 1: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
112,Full Stack,Hard,MCQ,Full Stack Hard MCQ Question 2: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
113,Full Stack,Hard,MCQ,Full Stack Hard MCQ Question 3: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
114,Full Stack,Hard,MCQ,Full Stack Hard MCQ Question 4: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
115,Full Stack,Hard,MCQ,Full Stack Hard MCQ Question 5: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
116,Full Stack,Hard,MCQ,Full Stack Hard MCQ Question 6: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
117,Full Stack,Hard,MCQ,Full Stack Hard MCQ Question 7: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
118,Full Stack,Hard,MCQ,Full Stack Hard MCQ Question 8: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
119,Full Stack,Hard,MCQ,Full Stack Hard MCQ Question 9: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
120,Full Stack,Hard,MCQ,Full Stack Hard MCQ Question 10: What is the correct answer?,Option A,Option B,Option C,Option D,Option A
